LAT,LON,STATE,Jan-92,Feb-93,Mar-94,Apr-95,May-96,Jun-97,Jul-98,Aug-99,Sep-00,Oct-01,Nov-02,Dec-03,Jan-04,Feb-05,Mar-06,Apr-07,May-08,Jun-09,Jul-10,Aug-11,Sep-12
39.0724,-76.7902,MD  ,0.306703119,0.378994975,0.390724747,0.37964106,0.372737147,0.385138626,0.389542592,0.397914721,0.457575092,0.44164635,0.371571898,0.37743798,0.416011708,0.457116258,0.488744824,0.489838769,0.454440311,0.449212335,0.46748249,0.4803647,0.495242444
44.6074,-69.3977,ME  ,0.301275046,0.391239975,0.350781781,0.332663423,0.318348624,0.305555556,0.292793208,0.31146311,0.310902896,0.299561687,0.289935079,0.31941933,0.35791776,0.430996883,0.417909853,0.406322695,0.400760985,0.403090546,0.440625398,0.465803028,0.483948792
43.3504,-84.5603,MI  ,0.398163642,0.404495287,0.425624113,0.437440306,0.439752212,0.437921886,0.438134457,0.437524999,0.431687169,0.40902815,0.402757353,0.415520966,0.461585693,0.502644651,0.518195146,0.529722721,0.545526769,0.567667153,0.588119691,0.623048119,0.648044366
45.7326,-93.9196,MN  ,0.262448037,0.284145134,0.305633066,0.304965783,0.300936768,0.296,0.286090051,0.278815523,0.264010667,0.273746709,0.28568856,0.293353672,0.376647994,0.417177819,0.44689888,0.441558097,0.451404836,0.438128956,0.454819206,0.519966172,0.587517495
38.4623,-92.302,MO,0.336474374,0.377505568,0.394826549,0.387876463,0.323187251,0.3125,0.267284727,0.265215333,0.26447703,0.247695649,0.275928655,0.331810324,0.357949413,0.358019035,0.384672941,0.378416287,0.3683665,0.352755931,0.357863545,0.390300458,0.418562346
32.7673,-89.6812,MS  ,0.328492559,0.372137178,0.393189189,0.392118329,0.381807648,0.395332757,0.299035654,0.284438565,0.27008593,0.267384736,0.274968852,0.309370775,0.35114871,0.371914555,0.408275978,0.409893232,0.396758801,0.408971194,0.415541572,0.403858268,0.464314729
46.9048,-110.3261,MT  ,0.233110616,0.232296492,0.296965784,0.348466258,0.363131594,0.403462749,0.418362283,0.440419447,0.443985194,0.438871477,0.429483554,0.437664637,0.496259256,0.501129151,0.521221002,0.507749577,0.529019939,0.495741299,0.495589545,0.507595856,0.527755096
35.6411,-79.8431,NC ,0.250147145,0.264397163,0.261065465,0.268025478,0.271662192,0.274257657,0.27852194,0.298676623,0.297416855,0.320943446,0.328078205,0.322970017,0.334989052,0.381735987,0.359910545,0.343580364,0.314617267,0.329673428,0.345172834,0.329284026,0.339987707
47.5362,-99.793,ND  ,0.219230769,0.154308617,0.166591012,0.185238095,0.195996276,0.171913836,0.221496006,0.202598392,0.222267778,0.232246058,0.241993116,0.242815451,0.257948201,0.217261187,0.227353116,0.222336567,0.215663517,0.225502048,0.243982404,0.272215179,0.305157449
41.1289,-98.2883,NE  ,0.576271186,0.609836066,0.635373444,0.6321394,0.632680929,0.67001675,0.666141112,0.673854447,0.670180723,0.650453721,0.651954178,0.694702529,0.641565003,0.617011137,0.694264541,0.68452705,0.70396651,0.705476173,0.708756489,0.71991836,0.745585969
