"year"	"category"	"n"
"2004"	"Florida"	2253
"2004"	"Georgia"	1213
"2004"	"Hawaii"	2355
"2004"	"Idaho"	1760
"2004"	"Illinois"	2354
"2004"	"Indiana"	4996
"2004"	"Iowa"	4700
"2004"	"Kansas"	3324
"2004"	"Kentucky"	2596
"2004"	"Louisiana"	1950
"2004"	"Maine"	4905
"2004"	"Maryland"	5768
"2004"	"Massachusetts"	4675
"2004"	"Michigan"	5967
"2004"	"Minnesota"	3983
"2004"	"Mississippi"	2776
"2004"	"Missouri"	3416
"2004"	"Montana"	3779
"2004"	"Nebraska"	3363
"2004"	"Nevada"	2093
"2004"	"New Hampshire"	5233
"2004"	"New Jersey"	5798
"2004"	"New Mexico"	1110
"2004"	"New York"	3566
"2004"	"North Carolina"	2207
"2004"	"North Dakota"	4037
"2004"	"Ohio"	4544
"2004"	"Oklahoma"	2171
"2004"	"Oregon"	4183
"2004"	"Pennsylvania"	6116
"2004"	"Rhode Island"	6182
"2004"	"South Carolina"	4195
"2004"	"South Dakota"	4555
"2004"	"Tennessee"	3498
"2004"	"Texas"	2308
"2004"	"Utah"	2556
"2004"	"Vermont"	9521
"2004"	"Virginia"	3926
"2004"	"Washington"	1767
"2004"	"West Virginia"	3193
"2004"	"Wisconsin"	2958
"2004"	"Wyoming"	2062
"2005"	"Alabama"	4824
"2005"	"Alaska"	3712
"2005"	"Arizona"	3279
"2005"	"Arkansas"	2794
"2005"	"California"	1246
"2005"	"Colorado"	4589
"2005"	"Connecticut"	6058
"2005"	"Delaware"	8592
"2005"	"Florida"	1917
"2005"	"Georgia"	1212
"2005"	"Hawaii"	2510
"2005"	"Idaho"	1994
"2005"	"Illinois"	2739
"2005"	"Indiana"	5304
"2005"	"Iowa"	4992
"2005"	"Kansas"	3759
"2005"	"Kentucky"	3243
"2005"	"Louisiana"	1986
"2005"	"Maine"	5250
"2005"	"Maryland"	5716
"2005"	"Massachusetts"	5042
"2005"	"Michigan"	6284
"2005"	"Minnesota"	4440
"2005"	"Mississippi"	3065
"2005"	"Missouri"	4304
"2005"	"Montana"	4187
"2005"	"Nebraska"	3308
"2005"	"Nevada"	2232
"2005"	"New Hampshire"	6573
"2005"	"New Jersey"	5553
"2005"	"New Mexico"	1151
"2005"	"New York"	3511
"2005"	"North Carolina"	2232
"2005"	"North Dakota"	4938
"2005"	"Ohio"	4978
"2005"	"Oklahoma"	2498
"2005"	"Oregon"	4549
"2005"	"Pennsylvania"	6623
"2005"	"Rhode Island"	6895
"2005"	"South Carolina"	4814
"2005"	"South Dakota"	4823
"2005"	"Tennessee"	3348
"2005"	"Texas"	2580
"2005"	"Utah"	2742
