"year"	"category"	"n"	"l"
"2003"	"Mississippi"	3665	6574
"2003"	"Missouri"	4024	7436
"2003"	"Montana"	4797	4869
"2003"	"Nebraska"	3849	7640
"2003"	"Nevada"	2695	7754
"2003"	"New Hampshire"	7784	4349
"2003"	"New Jersey"	7075	10610
"2003"	"New Mexico"	1030	10558
"2003"	"New York"	3826	9052
"2003"	"North Carolina"	2526	9016
"2003"	"North Dakota"	4026	6079
"2003"	"Ohio"	5790	6554
"2003"	"Oklahoma"	2337	7327
"2003"	"Oregon"	4886	6460
"2003"	"Pennsylvania"	7100	7364
"2003"	"Rhode Island"	7474	8983
"2003"	"South Carolina"	4692	7659
"2003"	"South Dakota"	5303	5537
"2003"	"Tennessee"	4093	6766
"2003"	"Texas"	3883	6947
"2003"	"Utah"	3011	6671
"2003"	"Vermont"	11669	3992
"2003"	"Virginia"	4701	6324
"2003"	"Washington"	2745	7264
"2003"	"West Virginia"	3878	5987
"2003"	"Wisconsin"	3568	8353
"2003"	"Wyoming"	2937	11616
"2004"	"Alabama"	5442	5932	
"2004"	"Alaska"	4137	13119
"2004"	"Arizona"	3806	7222
"2004"	"Arkansas"	3263	6701
"2004"	"California"	1546	8686
"2004"	"Colorado"	5885	4050
"2004"	"Connecticut"	7103	11279
"2004"	"Delaware"	10646	7817
"2004"	"Florida"	2850	7035
"2004"	"Georgia"	1535	8810
"2004"	"Hawaii"	2979	11723
"2004"	"Idaho"	2226	8785
"2004"	"Illinois"	2977	8362
"2004"	"Indiana"	6320	6463
"2004"	"Iowa"	5945	6645
"2004"	"Kansas"	4205	7513
"2004"	"Kentucky"	3284	8124
"2004"	"Louisiana"	2466	6388
"2004"	"Maine"	6204	7464
"2004"	"Maryland"	7296	8665
"2004"	"Massachusetts"	5914	7808
"2004"	"Michigan"	7548	7469
"2004"	"Minnesota"	5038	7038
"2004"	"Mississippi"	3512	6297
"2004"	"Missouri"	4321	7298
"2004"	"Montana"	4781	4759
"2004"	"Nebraska"	4254	6891
"2004"	"Nevada"	2647	9538
"2004"	"New Hampshire"	6620	4109
"2004"	"New Jersey"	7335	10204
"2004"	"New Mexico"	1404	10102
"2004"	"New York"	4595	8104
"2004"	"North Carolina"	2792	8474
"2004"	"North Dakota"	5106	5633
"2004"	"Ohio"	6029	6270
"2004"	"Oklahoma"	2746	6163
"2004"	"Oregon"	5291	5781
"2004"	"Pennsylvania"	7737	6774
"2004"	"Rhode Island"	7820	8054
"2004"	"South Carolina"	5306	6316
"2004"	"South Dakota"	5762	5541
"2004"	"Tennessee"	4425	6393
"2004"	"Texas"	2919	6798
"2004"	"Utah"	3234	6385
"2004"	"Vermont"	12043	3832
"2004"	"Virginia"	4966	5736
"2004"	"Washington"	2894	6969
"2004"	"West Virginia"	4039	5120
"2004"	"Wisconsin"	3742	7607
"2004"	"Wyoming"	2609	11426
"2005"	"Alabama"	5904	5981
"2005"	"Alaska"	4543	13690
"2005"	"Arizona"	4013	7202
"2005"	"Arkansas"	3420	6168
"2005"	"California"	1758	8305
"2005"	"Colorado"	5617	4113
"2005"	"Connecticut"	7415	11199
"2005"	"Delaware"	10516	7773
"2005"	"Florida"	2347	7674
"2005"	"Georgia"	1488	8807
"2005"	"Hawaii"	3073	11468
"2005"	"Idaho"	2441	8785
"2005"	"Illinois"	3352	8335
"2005"	"Indiana"	6492	6467
"2005"	"Iowa"	6110	6463
"2005"	"Kansas"	4601	7638
"2005"	"Kentucky"	3970	7316
"2005"	"Louisiana"	2431	6365
"2005"	"Maine"	6427	7335
"2005"	"Maryland"	6996	7318
"2005"	"Massachusetts"	6171	8596
"2005"	"Michigan"	7692	7151
"2005"	"Minnesota"	5434	6726
"2005"	"Mississippi"	3752	6001
"2005"	"Missouri"	5268	7635
"2005"	"Montana"	5125	4708
"2005"	"Nebraska"	4049	7202
"2005"	"Nevada"	2732	9286
"2005"	"New Hampshire"	8045	4034
"2005"	"New Jersey"	6797	9409
"2005"	"New Mexico"	1409	10273
"2005"	"New York"	4381	8607
"2005"	"North Carolina"	2732	8261
"2005"	"North Dakota"	6044	5597
"2005"	"Ohio"	6084	5800
"2005"	"Oklahoma"	3058	5967
"2005"	"Oregon"	5568	5639
"2005"	"Pennsylvania"	8107	6749
"2005"	"Rhode Island"	8440	7854
"2005"	"South Carolina"	5893	6491
"2005"	"South Dakota"	5903	5554
"2005"	"Tennessee"	4098	7831
"2005"	"Texas"	3158	6591
"2005"	"Utah"	3356	6581
"2005"	"Vermont"	12340	3679
"2005"	"Virginia"	5494	6039
"2005"	"Washington"	3197	7188
"2005"	"West Virginia"	4413	5334
"2005"	"Wisconsin"	4161	7490
"2005"	"Wyoming"	2667	12062
"2006"	"Alabama"	5948	6667	
"2006"	"Alaska"	4971	14347
"2006"	"Arizona"	4165	7374
"2006"	"Arkansas"	3563	6910
"2006"	"California"	2289	9215
"2006"	"Colorado"	6061	4423
"2006"	"Connecticut"	7679	11271
"2006"	"Delaware"	11890	7824
"2006"	"Florida"	2451	7798
"2006"	"Georgia"	1971	9279
"2006"	"Hawaii"	3240	12890
"2006"	"Idaho"	2535	8904
"2006"	"Illinois"	3267	7868
"2006"	"Indiana"	6968	6389
"2006"	"Iowa"	6351	6892
"2006"	"Kansas"	4278	6870
"2006"	"Kentucky"	4112	8011
"2006"	"Louisiana"	3260	6790
"2006"	"Maine"	6710	7166
"2006"	"Maryland"	7320	7623
"2006"	"Massachusetts"	6217	9083
"2006"	"Michigan"	7986	7089
"2006"	"Minnesota"	5540	7006
"2006"	"Mississippi"	3649	5994
"2006"	"Missouri"	5109	7355
"2006"	"Montana"	5331	5168
"2006"	"Nebraska"	4324	8261
"2006"	"Nevada"	2755	9637
"2006"	"New Hampshire"	8164	3855
